_Lecture,url, labels, arte, sloka, date, lang, place, video, lastUpdatTime
, 01_-_Bhagavad_Gita#s, Bhagavad Gītā Lectures, , bg, , , , , 2021-07-28 18:35
, 02_-_Festival#s, Festival Lectures, , , , , , , 2021-08-17 18:17
, 03_-_Miscellaneous#s, Kirtan, , vb.0, , , , , 2021-07-28 18:43
, 04_-_English#, Lecture, , , , en, , , 2021-07-30 23:06
