_Hindi_-_Putana_Vadh-0,url, labels, arte, sloka, date, lang, place, video, size, lastUpdatTime
, 01_-_RGS_SB_10-06-01-07#1_-_2005.mp3, Putana Vadh-01, , sb.10.6.1.7, 2005, hi, , , 13M, 2020-02-07 00:35
, 02_-_RGS_SB_10-06-08-21#2_-_2005.mp3, Putana Vadh-02, , sb.10.6.8.21, 2005, hi, , , 11M, 2020-02-07 00:35
, 03_-_RGS_SB_10-06-22-29#3_-_2005.mp3, Putana Vadh-03, , sb.10.6.22.29, 2005, hi, , , 14M, 2020-02-02 05:50
, 04_-_RGS_SB_10-06-30-36#4_-_2005.mp3, Putana Vadh-04, , sb.10.6.30.36, 2005, hi, , , 14M, 2020-02-07 00:35
, 05_-_RGS_SB_10-06-37-44#5_-_2005.mp3, Putana Vadh-05, , sb.10.6.37.44, 2005, hi, , , 14M, 2020-02-07 00:35
