_-_RGS_Hindi_-_,url, labels, arte, sloka, date, lang, place, video, size, lastUpdatTime
, 01#Lord_Sri_Rama_Katha_-_2008_Khadiha.mp3, Lord Śrī Rama Katha -  Khadiha, , , 2008, hi, , , 6.2M, 2020-02-05 08:46
, 02#Pastimes_of_Lord_Ramachandra-SB_05-19-07_-_2013-04-21_ISKCON_Juhu.mp3, Pastimes of Lord Ramachandra, , sb.5.19.7, 2013-04-21, hi, Iskcon Juhu, , 11M, 2020-02-04 05:31
, 03#Ramcharitra_Manas_Katha_-_2008_Kudra_Bihar.mp3, Ramcharitra Manas Katha -  Kudra Bihar, , , 2008, hi, , , 11M, 2020-02-07 23:03
