_-_,url, labels, arte, sloka, date, lang, place, video, lastUpdatTime
, 01#Khir_Chor_Gopinath-Sakshi_Gopal_Katha-CC_Madhya_Lila_04-05#2008_Mauritius, Khir Chor Gopināth-Sakshi Gopal Katha-CC Madhya Līlā 04-05, , cc.madhya.4.5, 2008, , Mauritius, , 2021-08-26 20:48
, 02#Madhavendra_Puri-Sakshi_Gopal_ki_Katha-CC_Madhya_Lila_04-05#2008_Khadiha_Bihar, Madhavendra Puri-Sakshi Gopal ki Katha-CC Madhya Līlā 04-05 -  Khadiha Bihar, , cc.madhya.4.5, 2008, , , , 2021-08-17 19:22
, 03#Mahaprabhu_ki_Lilaye-CC_Madhya_Lila_13-15#2006_Bhuvaneshwar, Mahaprabhu ki Līlāye-CC Madhya Līlā 13-15 -  Bhuvaneshwar, , cc.madhya.13.15, 2006, , , , 2021-08-17 19:25
, 04#Rupa_Siksha-CC_Madhya_Lila_19#2006_Noida, Rupa Siksha-CC Madhya Līlā 19 -  Noida, , cc.madhya.19, 2006, , , , 2021-08-17 19:25
, 05#Bhakti_ka_Abhideya-CC_Madhya_Lila_22#2007_Vrindavan, Bhakti ka Abhideya-CC Madhya Līlā 22 -  Vṛndāvana, , cc.madhya.22, 2007, , Vṛndāvana, , 2021-08-17 19:26
, 06#Sanatan_Siksha-CC_Madhya_Lila_22, Sanatan Siksha-CC Madhya Līlā 22, , cc.madhya.22, , , , , 2021-07-23 00:04
, 07#Gaur_Purnima_Katha, Gaur Purnima Katha, , , , , , , 2021-07-23 00:05
, 08#Single_Lectures, Single Lectures, , , , , , , 2021-07-23 00:07
