_-_Gopi_Geet_Part-01-,url, labels, arte, sloka, date, lang, place, video, size, lastUpdatTime
, 01_-_RGS_SB_10-29-01-07#01_-_2005_Haridwar.mp3, Gopi Geet Part-01-01 -  Haridwar, , sb.10.29.1.7, 2005, , , , 19M, 2020-02-18 05:07
, 02_-_RGS_SB_10-29-08-16#02_-_2005_Haridwar.mp3, Gopi Geet Part-01-02 -  Haridwar, , sb.10.29.8.16, 2005, , , , 17M, 2020-02-18 05:07
, 03_-_RGS_SB_10-29-17-27#03_-_2005_Haridwar.mp3, Gopi Geet Part-01-03 -  Haridwar, , sb.10.29.17.27, 2005, , , , 19M, 2020-02-18 04:49
, 04_-_RGS_SB_10-29-28-31#04_-_2005_Haridwar.MP3, Gopi Geet Part-01-04 -  Haridwar, , sb.10.29.28.31, 2005, , , , 19M, 2020-02-18 04:49
, 05_-_RGS_SB_10-29-32-33#05_-_2005_Haridwar.mp3, Gopi Geet Part-01-05 -  Haridwar, , sb.10.29.32.33, 2005, , , , 17M, 2020-02-18 04:52
, 06_-_RGS_SB_10-29-34-38#06_-_2005_Haridwar.mp3, Gopi Geet Part-01-06 -  Haridwar, , sb.10.29.34.38, 2005, , , , 20M, 2020-02-18 04:50
, 07_-_RGS_SB_10-29-39-41#07_-_2005_Haridwar.mp3, Gopi Geet Part-01-07 -  Haridwar, , sb.10.29.39.41, 2005, , , , 21M, 2020-02-18 04:53
, 08_-_RGS_SB_10-29-42-48#08_-_2005_Haridwar.mp3, Gopi Geet Part-01-08 -  Haridwar, , sb.10.29.42.48, 2005, , , , 23M, 2020-02-18 04:51
, 09_-_RGS_SB_10-30-01-09#09_-_2005_Haridwar.mp3, Gopi Geet Part-01-09 -  Haridwar, , sb.10.30.1.9, 2005, , , , 20M, 2020-02-18 04:54
, 10_-_RGS_SB_10-30-10-23#10_-_2005_Haridwar.mp3, Gopi Geet Part-01-10 -  Haridwar, , sb.10.30.10.23, 2005, , , , 18M, 2020-02-18 04:54
, 11_-_RGS_SB_10-30-24-33#11_-_2005_Haridwar.mp3, Gopi Geet Part-01-11 -  Haridwar, , sb.10.30.24.33, 2005, , , , 10M, 2020-02-18 04:54
, 12_-_RGS_SB_10-30-34-44#12_-_2005_Haridwar.mp3, Gopi Geet Part-01-12 -  Haridwar, , sb.10.30.34.44, 2005, , , , 14M, 2020-02-18 04:54
